well	label
A2	Supernatant 
A3	Supernatant 
A4	Supernatant 
A5	Supernatant 
B2	DMSO + PBS 
B3	DMSO + PBS 
C2	DMSO + PBS 
C3	DMSO + PBS 
D2	DMSO + Glu [ 50 μM ]
D3	DMSO + Glu [ 50 μM ]
E2	DMSO + Glu [ 50 μM ]
E3	DMSO + Glu [ 50 μM ]
F2	APV [ 50 μM + Glu [ 50 μM ]
F3	APV [ 50 μM + Glu [ 50 μM ]
G2	APV [ 50 μM + Glu [ 50 μM ]
G3	APV [ 50 μM + Glu [ 50 μM ]
B4	C01 [ 5 μM ]
B5	C01 [ 5 μM ]
C4	C01 [ 5 μM ]
C5	C01 [ 5 μM ]
D4	C01 [ 0,5 μM ]
D5	C01 [ 0,5 μM ]
E4	C01 [ 0,5 μM ]
E5	C01 [ 0,5 μM ]
F4	C01 [ 0,05 μM ]
F5	C01 [ 0,05 μM ]
G4	C01 [ 0,05 μM ]
G5	C01 [ 0,05 μM ]
B6	C01 [ 5 μM + Glu [ 50 μM ]
B7	C01 [ 5 μM + Glu [ 50 μM ]
C6	C01 [ 5 μM + Glu [ 50 μM ]
C7	C01 [ 5 μM + Glu [ 50 μM ]
D6	C01 [ 0,5 μM + Glu [ 50 μM ]
D7	C01 [ 0,5 μM + Glu [ 50 μM ]
E6	C01 [ 0,5 μM + Glu [ 50 μM ]
E7	C01 [ 0,5 μM + Glu [ 50 μM ]
F6	C01 [ 0,05 μM + Glu [ 50 μM ]
F7	C01 [ 0,05 μM + Glu [ 50 μM ]
G6	C01 [ 0,05 μM + Glu [ 50 μM ]
G7	C01 [ 0,05 μM + Glu [ 50 μM ]
B8	C02 [ 5 μM ]
B9	C02 [ 5 μM ]
C8	C02 [ 5 μM ]
C9	C02 [ 5 μM ]
D8	C02 [ 0,5 μM ]
D9	C02 [ 0,5 μM ]
E8	C02 [ 0,5 μM ]
E9	C02 [ 0,5 μM ]
F8	C02 [ 0,05 μM ]
F9	C02 [ 0,05 μM ]
G8	C02 [ 0,05 μM ]
G9	C02 [ 0,05 μM ]
B10	C02 [ 5 μM + Glu [ 50 μM ]
B11	C02 [ 5 μM + Glu [ 50 μM ]
C10	C02 [ 5 μM + Glu [ 50 μM ]
C11	C02 [ 5 μM + Glu [ 50 μM ]
D10	C02 [ 0,5 μM + Glu [ 50 μM ]
D11	C02 [ 0,5 μM + Glu [ 50 μM ]
E10	C02 [ 0,5 μM + Glu [ 50 μM ]
E11	C02 [ 0,5 μM + Glu [ 50 μM ]
F10	C02 [ 0,05 μM + Glu [ 50 μM ]
F11	C02 [ 0,05 μM + Glu [ 50 μM ]
G10	C02 [ 0,05 μM + Glu [ 50 μM ]
G11	C02 [ 0,05 μM + Glu [ 50 μM ]
